,R(0.01),R(0.02),R(0.03),R(0.04),R(0.05),R(0.06),R(0.07),R(0.08),R(0.09),R(0.10),R(0.11),R(0.12),R(0.13),R(0.14),R(0.15)
2025-01-04 02:00:00+00:00,3761.0427648181067,3135.836408916839,2782.8040460949633,2426.56284040388,2308.647059335046,2160.750842370071,2018.9446818545548,1979.5958527003022,1785.19367239056,1743.5498962423735,1653.6724354637481,1608.3810649923253,1494.323786535504,1372.8953905675153,1275.2351180665937
2025-01-04 03:00:00+00:00,3714.949602621564,3309.549542944471,3083.0726416812977,2801.6412198475737,2664.3228300891933,2514.0081266279303,2347.4314946568775,2364.0516199829362,2137.350570471681,2138.182933095268,2080.5719192155884,2047.7130918116454,1933.7813493882277,1764.1548093887395,1876.8535114443366
2025-01-04 04:00:00+00:00,3824.7491238813745,3531.6308920782612,3384.4425624036303,3209.6267199508657,3048.8148677522113,2899.5862247182376,2715.308661025636,2719.7322407081083,2508.258864362302,2506.3172267559494,2456.2899571584567,2419.0981995432594,2314.489559731279,2133.048762696606,2170.0315455174205
2025-01-04 05:00:00+00:00,4082.790189068044,3690.111742086963,3528.4789678647066,3397.36397670344,3263.824953160176,3111.7154678325824,2921.8384011027156,2899.0069750195908,2688.4503535054755,2687.543182611924,2614.8734164361813,2556.9431696646643,2463.875497498928,2288.660792012197,2334.7872542835175
2025-01-04 06:00:00+00:00,4307.493514340735,3793.4018223165913,3575.771830898215,3440.1210741866234,3314.7041952332293,3161.1364950142597,2973.2909085966385,2891.130269457957,2710.6183496644517,2665.765228288874,2563.905897144883,2494.3038408605353,2395.7553696309405,2242.5730384865456,2306.8274657565635
2025-01-04 07:00:00+00:00,4491.332611681704,3811.6513793444683,3515.8314768692726,3325.9888200812493,3212.6598761986024,3056.8194138281397,2876.208291594674,2767.2685836556993,2586.822755868532,2525.6496483128867,2397.001163841014,2319.769824432602,2214.718414758623,2074.6305616095487,2180.861124597199
2025-01-04 08:00:00+00:00,4587.529497218915,3878.805892048389,3541.980612484127,3327.813452889226,3137.695139249052,2989.899353263412,2815.8982378515648,2657.3808997308006,2517.698684542258,2395.143767954025,2259.9996275414524,2191.3889205883534,2072.351454886877,1951.9386270706163,2033.170927154264
2025-01-04 09:00:00+00:00,4778.90151635545,3952.4806762857406,3516.2729334135875,3272.186719673664,2947.8754297282358,2820.845221588803,2670.512826443686,2448.1301152824817,2350.4610208087324,2155.6207888459394,2007.6623374059564,1939.3809573040853,1818.6065744272491,1727.694993863981,1693.5621481865674
2025-01-04 10:00:00+00:00,5384.986585899918,4245.309090663672,3721.71523944442,3411.732961065187,3202.7706035376978,3057.633313560138,2902.216266345691,2716.535663825227,2517.9928194193417,2396.4895512749135,2214.7690385241003,2097.3419203778176,1996.9593989665154,1915.1127736780472,1818.6936278891735
2025-01-04 11:00:00+00:00,5691.521437972107,4732.627283967253,4237.24591324143,3914.757674776738,3806.454671589505,3617.6749985733113,3425.7499123873204,3161.3137383595968,3031.039359944036,2807.7800719886072,2633.4397652245607,2503.2012563088865,2369.330349352007,2339.681100618771,2232.6273847877746
2025-01-04 12:00:00+00:00,5583.657626222601,4551.796440729144,3909.3053879066283,3434.086625767726,3401.6655723762815,3183.2845536390378,3009.959779021665,2689.7178063539177,2621.8201002865826,2325.7132583035273,2130.8368882988434,2004.9383107609028,1843.8943229786964,1856.6919691298535,1668.1817775327945
2025-01-04 13:00:00+00:00,5321.593327373419,4698.788045303721,4212.183543388215,3807.907402833007,3541.3423417667364,3338.0810311058667,3147.462288148381,2826.529768177701,2834.018025038393,2479.539879634569,2345.384462829359,2280.4536369098423,2097.165342010907,2088.047811400138,1927.5862193966532
2025-01-04 14:00:00+00:00,5637.772692094091,4951.164966432727,4623.752679142592,4279.951154160422,4161.36869021778,3931.160816985852,3694.4866294489693,3591.61879540838,3386.789573922055,3302.57485179192,3197.236369607912,3096.0164706477735,2974.1818233633603,2899.534137869872,2860.2482727625393
2025-01-04 15:00:00+00:00,5358.400862512164,4885.161060900187,4611.689051690439,4316.796924352835,4196.326458373907,3964.157933522103,3720.5196837662515,3487.217192241187,3437.322215459055,3201.804028664752,3102.4355109148673,3018.0949779857765,2866.2676698437135,2866.9704131348626,2627.285084432013
2025-01-04 16:00:00+00:00,5246.32961315928,5032.91456697807,4881.39510772076,4752.671629567856,4386.500267660325,4190.214702830126,3940.6484178542596,3617.9390985503924,3695.2961013942404,3352.319713250472,3286.136887334258,3232.318881011066,3082.8667936884085,3113.694094333827,2869.5325074991415
2025-01-04 17:00:00+00:00,5863.089288000265,5206.3014327688,4974.101154391843,4898.372649337296,4548.478153438671,4369.571824673854,4130.1969375443,3810.154203601698,3811.206246224625,3548.8760341760863,3433.2364109648333,3320.224667703449,3227.8724932006808,3280.18271192666,2936.347435589836
2025-01-04 18:00:00+00:00,6334.768950011436,5219.534869904644,4779.220210946674,4567.435858555473,4325.598687501581,4145.610861558103,3930.438215989663,3523.244822258799,3517.132602954487,3197.4437356450944,3000.6948238084588,2849.89053850442,2739.51779595884,2844.010175293726,2475.7757771698234
2025-01-04 19:00:00+00:00,6467.361500093561,5374.489594056344,4893.198983980867,4576.1572430501765,4281.20263596515,4100.744168478828,3884.79754005235,3452.710454951324,3454.982921625451,3067.247954404331,2860.9148493236353,2736.928720409138,2574.9453114185962,2661.8400670000265,2422.718353918375
